Hzscore;Uzscore;Fzscore;Tzscore;species;sex
5,09628039;13,9522629;20,13281121;26,59804145;A;F
5,378165908;14,62805541;20,35087633;26,09841585;A;F
5,557950565;14,22082149;20,74686648;26,361021;A;F
6,943712869;13,45350783;19,96472198;25,76285973;A;F
6,942214975;14,23775701;18,28162925;27,1205056;A;F
6,706285918;13,70423377;20,2639334;26,72088686;A;F
8,570052103;12,4224933;18,33907946;26,52157554;A;F
7,079101957;12,96211844;20,63489875;27,52153201;A;F
5,880146338;14,20593782;21,70655821;29,00383154;A;F
7,26702985;14,31478831;20,44784475;26,37329698;A;F
7,625384666;14,26120671;20,36549589;26,07424158;A;F
7,443310972;15,03367681;19,1189054;27,12057613;A;F
6,509714932;14,12670411;22,07318942;28,65973281;A;F
6,574772742;14,93873559;20,87327492;28,73169241;A;F
6,755400561;15,53838957;20,54448318;28,05222566;A;F
7,212718226;13,89060636;21,80673794;28,22442071;A;F
7,565547702;14,10825754;20,75059539;27,95786019;A;F
8,670558946;14,07356927;19,99481335;26,21562148;A;F
7,840598164;14,44489404;20,39309892;27,84905125;A;F
7,456969053;15,22201279;20,30283994;27,99981667;A;F
7,824471396;15,17949875;20,67616565;26,78483297;A;F
7,18686823;16,53451374;21,17591706;27,23226975;A;F
7,796488961;14,59388943;21,46195996;27,87147889;A;F
9,060054534;12,11803815;21,97901276;28,09534034;A;F
8,122269823;14,80026223;20,27309548;28,22490033;A;F
7,614098872;14,74875195;22,52588971;28,29917523;A;F
8,57372803;15,04883458;20,64653134;27,20242523;A;F
7,861673615;15,58472691;22,31798938;28,01260912;A;F
8,30045005;16,27885208;20,51732268;29,40993914;A;F
8,706566959;15,89766225;21,17214638;29,02626528;A;F
6,100006694;12,70600962;18,74833475;26,94448459;A;M
5,88827498;14,54751345;20,63014243;26,89917303;A;M
6,22110341;14,41522383;20,70896497;25,90612957;A;M
5,709553804;15,13526848;21,25008062;27,25798285;A;M
7,337547079;12,89155335;19,39342629;26,3972054;A;M
6,108419145;15,99996468;20,1453658;26,3920807;A;M
6,304092669;14,15933945;21,6574598;27,19306919;A;M
6,842671281;15,34138592;20,09501341;26,05258609;A;M
6,462492366;14,76562338;20,28000465;28,87061843;A;M
6,650761926;15,24031059;21,12644937;26,63095613;A;M
6,906666415;14,2035824;20,76872784;27,96834046;A;M
7,31210397;15,49904332;17,83291551;28,96850843;A;M
7,121326012;13,86345452;21,58517574;27,07895311;A;M
6,75486812;14,29430033;22,38688325;27,50477825;A;M
7,920213632;13,74808339;20,44522303;26,30071716;A;M
7,302912276;14,22484889;22,06241538;25,98502285;A;M
7,166098637;16,60555414;19,70510369;26,56346467;A;M
8,136065407;13,19464755;20,49807745;27,01486026;A;M
